id,amount,status,fees,tax,utr,created_at
setl_PC001,1396690,processed,0,0,HDFC2608PC00001,1787724000
setl_PC002,1431351,processed,0,0,HDFC2608PC00002,1787720400
setl_PC003,1092080,processed,0,0,HDFC2608PC00003,1787716800
setl_PC004,1257087,processed,0,0,HDFC2608PC00004,1787713200
setl_PC005,1301338,processed,0,0,HDFC2608PC00005,1787709600
setl_PC006,1429433,processed,0,0,HDFC2608PC00006,1787706000
setl_PC007,1025575,processed,0,0,HDFC2608PC00007,1787702400
setl_PC008,1350336,processed,0,0,HDFC2608PC00008,1787698800
setl_PC009,132956000,processed,0,0,HDFC2608PC00009,1787695200
setl_PC010,1377784,processed,0,0,HDFC2608PC00010,1787691600
setl_PC011,1127174,processed,0,0,HDFC2608PC00011,1787688000
setl_PC012,1306407,processed,0,0,HDFC2608PC00012,1787738400
